2025-08-21 10:59:15 - INFO: Logging setup complete.
2025-08-21 10:59:16 - INFO: Read input file successfully
2025-08-21 10:59:16 - INFO: Extracted 200004 product IDs from the input file
2025-08-21 10:59:16 - INFO: Removed duplicates successfully, 200004 unique product IDs remaining
2025-08-21 10:59:16 - WARNING: Invalid product ID found: hellocanhaiucuakem (type: <class 'str'>)
2025-08-21 10:59:16 - INFO: 1 invalid IDs removed
2025-08-21 10:59:16 - WARNING: Invalid product ID found: 9.19 (type: <class 'float'>)
2025-08-21 10:59:16 - INFO: 2 invalid IDs removed
2025-08-21 10:59:16 - WARNING: Invalid product ID found: 11.9 (type: <class 'float'>)
2025-08-21 10:59:16 - INFO: 3 invalid IDs removed
2025-08-21 10:59:16 - WARNING: Invalid product ID found: vansire (type: <class 'str'>)
2025-08-21 10:59:16 - INFO: 4 invalid IDs removed
2025-08-21 10:59:16 - INFO: Validation complete: 200000 valid IDs
2025-08-21 10:59:16 - INFO: Invalid IDs written to /home/lamanx/DEC/Lab2/logs/DLQ.log
2025-08-21 10:59:16 - INFO: checkpoint_data: None
2025-08-21 10:59:16 - INFO: No checkpoint found - starting fresh
2025-08-21 10:59:16 - INFO: Fetching data for product ID 1391347
2025-08-21 10:59:16 - INFO: Fetching data for product ID 74897599
2025-08-21 10:59:16 - INFO: Fetching data for product ID 154155413
2025-08-21 10:59:16 - INFO: Fetching data for product ID 253117062
2025-08-21 10:59:16 - INFO: Fetching data for product ID 130978358
2025-08-21 10:59:16 - INFO: Fetching data for product ID 214009046
2025-08-21 10:59:16 - INFO: Fetching data for product ID 171618108
2025-08-21 10:59:16 - INFO: Fetching data for product ID 179970479
2025-08-21 10:59:16 - INFO: Fetching data for product ID 139457837
2025-08-21 10:59:16 - INFO: Fetching data for product ID 197334787
2025-08-21 10:59:16 - INFO: Fetching data for product ID 214008432
2025-08-21 10:59:16 - INFO: Fetching data for product ID 213678661
2025-08-21 10:59:16 - INFO: Fetching data for product ID 138083218
2025-08-21 10:59:16 - INFO: Fetching data for product ID 75331097
2025-08-21 10:59:16 - INFO: Fetching data for product ID 139457787
2025-08-21 10:59:16 - INFO: Fetching data for product ID 146457002
2025-08-21 10:59:16 - INFO: Fetching data for product ID 178596691
2025-08-21 10:59:16 - INFO: Fetching data for product ID 191463903
2025-08-21 10:59:16 - INFO: Fetching data for product ID 167750518
2025-08-21 10:59:16 - INFO: Fetching data for product ID 170337343
2025-08-21 10:59:16 - INFO: Fetched data for product ID 74897599
2025-08-21 10:59:16 - INFO: Fetching data for product ID 58510250
2025-08-21 10:59:16 - INFO: Fetched data for product ID 139457837
2025-08-21 10:59:16 - INFO: Fetching data for product ID 214006984
2025-08-21 10:59:16 - INFO: Fetched data for product ID 1391347
2025-08-21 10:59:16 - INFO: Fetching data for product ID 75378756
2025-08-21 10:59:16 - INFO: Fetched data for product ID 139457787
2025-08-21 10:59:16 - INFO: Fetching data for product ID 215101707
2025-08-21 10:59:16 - INFO: Fetched data for product ID 179970479
2025-08-21 10:59:16 - INFO: Fetching data for product ID 184319033
2025-08-21 10:59:16 - INFO: Fetched data for product ID 167750518
2025-08-21 10:59:16 - INFO: Fetching data for product ID 205930779
2025-08-21 10:59:16 - INFO: Fetched data for product ID 213678661
2025-08-21 10:59:16 - INFO: Fetching data for product ID 152738111
2025-08-21 10:59:16 - INFO: Fetched data for product ID 253117062
2025-08-21 10:59:16 - INFO: Fetching data for product ID 103637219
2025-08-21 10:59:16 - INFO: Fetched data for product ID 178596691
2025-08-21 10:59:16 - INFO: Fetching data for product ID 67029245
2025-08-21 10:59:16 - INFO: Fetched data for product ID 171618108
2025-08-21 10:59:16 - INFO: Fetching data for product ID 154530234
2025-08-21 10:59:16 - INFO: Fetched data for product ID 170337343
2025-08-21 10:59:16 - INFO: Fetching data for product ID 157943579
2025-08-21 10:59:17 - INFO: Fetched data for product ID 130978358
2025-08-21 10:59:17 - INFO: Fetching data for product ID 168663152
2025-08-21 10:59:17 - INFO: Fetched data for product ID 138083218
2025-08-21 10:59:17 - INFO: Fetching data for product ID 184669779
2025-08-21 10:59:17 - INFO: Fetched data for product ID 154155413
2025-08-21 10:59:17 - INFO: Fetching data for product ID 160814241
2025-08-21 10:59:17 - INFO: Fetched data for product ID 184319033
2025-08-21 10:59:17 - INFO: Fetching data for product ID 225385243
2025-08-21 10:59:17 - INFO: Fetched data for product ID 191463903
2025-08-21 10:59:17 - INFO: Fetching data for product ID 36376636
2025-08-21 10:59:17 - INFO: Fetched data for product ID 197334787
2025-08-21 10:59:17 - INFO: Fetching data for product ID 140420532
2025-08-21 10:59:17 - INFO: Fetched data for product ID 103637219
2025-08-21 10:59:17 - INFO: Fetching data for product ID 206303845
